"","title","link","pubDate","Site","Lead","Symbol","Company"
"19","Regulus expands clinical trial collaboration with GSK","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3385271","2016-06-01 08:00:00","Reuters Key Development","Regulus expands clinical trial collaboration with GSK","GSK"," GlaxoSmithKline"
"20","GlaxoSmithkline accelerates filing of COPD triple-therapy drug","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3385696","2016-06-02 02:00:07","Reuters Key Development","GlaxoSmithkline accelerates filing of COPD triple-therapy drug","GSK"," GlaxoSmithKline"
"21","Mylan launches generic rythmol sustained-release capsules","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3385903","2016-06-02 07:00:00","Reuters Key Development","Mylan launches generic rythmol sustained-release capsules","GSK"," GlaxoSmithKline"
"22","GSK rheumatoid arthritis, SLE drug meets late stage study goal","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3388521","2016-06-08 05:38:05","Reuters Key Development","GSK rheumatoid arthritis, SLE drug meets late stage study goal","GSK"," GlaxoSmithKline"
"23","ViiV Healthcare says FDA approves sNDA for dolutegravir","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3389724","2016-06-10 09:10:55","Reuters Key Development","ViiV Healthcare says FDA approves sNDA for dolutegravir","GSK"," GlaxoSmithKline"
"24","GlaxoSmithKline says vaccines chairman Slaoui to retire in 2017","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3390787","2016-06-14 05:58:50","Reuters Key Development","GlaxoSmithKline says vaccines chairman Slaoui to retire in 2017","GSK"," GlaxoSmithKline"
"25","GlaxoSmithKline says lung drug meets late-stage study goals","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3393169","2016-06-20 02:02:24","Reuters Key Development","GlaxoSmithKline says lung drug meets late-stage study goals","GSK"," GlaxoSmithKline"
"26","Why GlaxoSmithKline plc (ADR) (GSK) Stock Is Higher Today","http://investorplace.com/2016/06/glaxosmithkline-gsk-stock/","2016-06-20 13:23:59","Investorplace.com","It found the treatment to be more effective than rival AstraZeneca plc (ADR)'s (AZN) Symbicort. “Triple combination therapy is already a reality for many patients with COPD and is dispensed in multiple inhalers,” Dave Allen, GlaxoSmithKline's head ...","GSK"," GlaxoSmithKline"
"27","Mylan launches generic version of GSK&#39;s avodart capsules","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3395866","2016-06-24 11:44:00","Reuters Key Development","Mylan launches generic version of GSK's avodart capsules","GSK"," GlaxoSmithKline"
"28","ARIA study shows superior efficacy of Triumeq for treatment-naïve women with HIV","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3406900","2016-07-18 06:16:10","Reuters Key Development","ARIA study shows superior efficacy of Triumeq for treatment-naïve women with HIV","GSK"," GlaxoSmithKline"
"29","GlaxoSmithKline ships 2016-17 seasonal influenza vaccines for US market","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3408521","2016-07-20 15:51:00","Reuters Key Development","GlaxoSmithKline ships 2016-17 seasonal influenza vaccines for US market","GSK"," GlaxoSmithKline"
"30","GSK CEO: UK competitive post-Brexit but questions over drug regulation, science","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3412627","2016-07-27 07:00:00","Reuters Key Development","GSK CEO: UK competitive post-Brexit but questions over drug regulation, science","GSK"," GlaxoSmithKline"
"31","Vectura initiates legal proceedings against GSK in the U.S.","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3412881","2016-07-27 12:19:40","Reuters Key Development","Vectura initiates legal proceedings against GSK in the U.S.","GSK"," GlaxoSmithKline"
"32","GlaxoSmithKline plc (ADR)(GSK) and Alphabet Inc (GOOGL) Team Up for Joint Venture","http://www.thecountrycaller.com/85905-glaxosmithkline-plc-adrgsk-and-alphabet-inc-googl-team-up-for-joint-venture","2016-08-01 10:03:45","TCC","GlaxoSmithKline plc (ADR) (NYSE:GSK) and Alphabet Inc's (NASDAQ:GOOGL) Verily Life Sciences, formerly known as Google Life Sciences, come together to form a new joint venture.","GSK"," GlaxoSmithKline"
"33","Gsk Consumer Healthcare says FDA approved Flonase Sensimist allergy relief as OTC treatment","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3418121","2016-08-03 08:03:00","Reuters Key Development","Gsk Consumer Healthcare says FDA approved Flonase Sensimist allergy relief as OTC treatment","GSK"," GlaxoSmithKline"
"34","GlaxoSmithKline plc (NYSE:GSK) Offers Money Back Guarantees on Rare ...","http://www.thecountrycaller.com/66019-glaxosmithkline-plc-adr-gsk-offers-money-back-guarantees-on-rare-pathological-ailments","2016-08-15 11:02:32","TCC","Multiple companies around the globe are now offering the option of money back guarantees to expand the exposure of their costly therapies.","GSK"," GlaxoSmithKline"
"35","GlaxoSmithKline plc (ADR) (NYSE:GSK) Survive From New Respiratory Molecule ...","http://www.thecountrycaller.com/50021-will-glaxosmithkline-gsk-survive-from-new-respiratory-molecule-induction/","2016-08-15 11:33:45","TCC","GlaxoSmithKline's plc (ADR) (NYSE:GSK) respiratory franchise is going through a tough time due to fierce competition after the patent expiration of the company's blockbuster drugs and with the induction of generics in the therapeutic market.","GSK"," GlaxoSmithKline"
"36","GSK Consumer Healthcare announces Flonase allergy relief for OTC use in Canada","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3435725","2016-08-31 17:09:00","Reuters Key Development","GSK Consumer Healthcare announces Flonase allergy relief for OTC use in Canada","GSK"," GlaxoSmithKline"
"37","DR. Reddy&#39;s laboratories says launch of Bupropion HCL extended-release tablets, USP (sr) in U.S. market","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3436850","2016-09-02 11:32:00","Reuters Key Development","DR. Reddy's laboratories says launch of Bupropion HCL extended-release tablets, USP (sr) in U.S. market","GSK"," GlaxoSmithKline"
"38","GlaxoSmithKline sees positive results from COPD Salford Lung study","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3437026","2016-09-05 02:00:06","Reuters Key Development","GlaxoSmithKline sees positive results from COPD Salford Lung study","GSK"," GlaxoSmithKline"
"39","GSK presents positive results from phase III FULFIL study","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3437818","2016-09-06 09:45:00","Reuters Key Development","GSK presents positive results from phase III FULFIL study","GSK"," GlaxoSmithKline"
"40","Will GlaxoSmithKline plc (ADR) (GSK) Exhibit Growth After Patent Cliff?","http://www.thecountrycaller.com/71245-will-glaxosmithkline-plc-adr-gsk-exhibit-growth-after-patent-cliff","2016-09-10 08:00:00","TCC","Majority of the investors are skeptical about the future prospects of GlaxoSmithKline plc (ADR) (NYSE:GSK) due to its performance in 2015, as it was hit hard by the patent cliff.","GSK"," GlaxoSmithKline"
"41","Aspen Pharma to buy almost entire of GSK&#39;s anaesthetics portfolio","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3439698","2016-09-12 03:00:22","Reuters Key Development","Aspen Pharma to buy almost entire of GSK's anaesthetics portfolio","GSK"," GlaxoSmithKline"
"42","GSK appoints Emma Walmsley as new CEO","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3442740","2016-09-20 02:00:08","Reuters Key Development","GSK appoints Emma Walmsley as new CEO","GSK"," GlaxoSmithKline"
"43","Medecins Sans Frontieres Happy with GlaxoSmithKline plc (ADR) (NYSE:GSK) Price ...","http://marketexclusive.com/medecins-sans-frontieres-happy-glaxosmithkline-price-reduction-synflorix/32571/","2016-09-20 09:18:45","Market Exclusive","Numerous complaints by medical charity Medecins Sans Frontieres over the cost of pneumococcal vaccine given to refugees by GlaxoSmithKline plc (ADR)(NYSE:GSK) have yielded fruit. The British drugmaker says that it will lower the price of Synflorix, ...","GSK"," GlaxoSmithKline"
"44","GSK files regulatory submissions in U.S. and Europe for lupus drug","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3444496","2016-09-23 04:44:14","Reuters Key Development","GSK files regulatory submissions in U.S. and Europe for lupus drug","GSK"," GlaxoSmithKline"
"45","Janssen Biotech submits application for approval of sirukumab in U.S. for rheumatoid arthritis","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3444643","2016-09-23 08:00:00","Reuters Key Development","Janssen Biotech submits application for approval of sirukumab in U.S. for rheumatoid arthritis","GSK"," GlaxoSmithKline"
"46","GSK, Oncodesign announce agreement for Oncodesign&#39;s Acquisition of GSK&#39;s Research Centre in France","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3446090","2016-09-28 01:30:00","Reuters Key Development","GSK, Oncodesign announce agreement for Oncodesign's Acquisition of GSK's Research Centre in France","GSK"," GlaxoSmithKline"
"47","Oncodesign to buy François Hyafil research centre from GSK","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3446085","2016-09-28 01:30:00","Reuters Key Development","Oncodesign to buy François Hyafil research centre from GSK","GSK"," GlaxoSmithKline"
"48","GSK says to sell remaining stake in Aspen Pharmacare","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3446530","2016-09-28 11:19:59","Reuters Key Development","GSK says to sell remaining stake in Aspen Pharmacare","GSK"," GlaxoSmithKline"
"49","GSK gets 477 mln stg gross proceeds from Aspen Pharmacare stake sale","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3446845","2016-09-29 02:54:38","Reuters Key Development","GSK gets 477 mln stg gross proceeds from Aspen Pharmacare stake sale","GSK"," GlaxoSmithKline"
"50","Aspen Pharmacare says GSK sells remaining stake in co","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3446847","2016-09-29 03:05:09","Reuters Key Development","Aspen Pharmacare says GSK sells remaining stake in co","GSK"," GlaxoSmithKline"
"51","GlaxoSmithKline appoints new consumer healthcare CEO","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3447064","2016-09-29 07:40:19","Reuters Key Development","GlaxoSmithKline appoints new consumer healthcare CEO","GSK"," GlaxoSmithKline"
"52","Glaxo to pay $20 mln to resolve SEC charges&lt;GSK.L&gt;","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3448139","2016-09-30 14:15:05","Reuters Key Development","Glaxo to pay $20 mln to resolve SEC charges<GSK.L>","GSK"," GlaxoSmithKline"
"53","GSK submits U.S. application for Shingles vaccine","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3458737","2016-10-24 02:00:06","Reuters Key Development","GSK submits U.S. application for Shingles vaccine","GSK"," GlaxoSmithKline"
"54","GlaxoSmithKline plc (ADR) (GSK) Seeks FDA Approval for New Shingles Vaccine","http://investorplace.com/2016/10/glaxosmithkline-shingles-shingrix-gsk/","2016-10-24 12:41:15","Investorplace.com","GlaxoSmithKline plc (ADR) (NYSE:GSK), a healthcare company, is seeking approval from the U.S. Food and Drug Administration for a shingles vaccine.","GSK"," GlaxoSmithKline"
"55","GlaxoSmithKline plc (ADR) (GSK) Q3 Earnings: What Merrill Lynch Expects","http://smartstocknews.com/57462-glaxosmithkline-plc-adr-gsk-q3-earnings-what-merrill-lynch-expects/","2016-10-24 12:50:22","Sm<U+0430>rt St<U+043E>ck N<U+0435>ws","GlaxoSmithKline plc (ADR) (NYSE:GSK) is slated to report third-quarter financial results for fiscal year 2016 on Wednesday, October 26.","GSK"," GlaxoSmithKline"
"56","Fimbrion, GSK to develop novel antibacterial therapy for UTIs","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3460547","2016-10-25 09:45:00","Reuters Key Development","Fimbrion, GSK to develop novel antibacterial therapy for UTIs","GSK"," GlaxoSmithKline"
"57","GlaxoSmithKline plc (ADR) (NYSE:GSK) Teams Up With Fimbrion Therapeutics, Inc.","http://marketexclusive.com/glaxosmithkline-plc-adr-nysegsk-teams-fimbrion-therapeutics-inc/35047/","2016-10-26 07:04:55","Market Exclusive","Under the partnership, the two companies will mainly work on a joint project between GSK Discovery Partnerships with Academia (DPAc) and Fimbrion Therapeutics.","GSK"," GlaxoSmithKline"
"58","GSK CEO says weak pound hasn&#39;t impacted company&#39;s UK pricing","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3461487","2016-10-26 07:15:00","Reuters Key Development","GSK CEO says weak pound hasn't impacted company's UK pricing","GSK"," GlaxoSmithKline"
"59","GlaxoSmithKline plc (ADR) (NYSE:GSK) Steps Ahead in Vaccine Combination","http://smartstocknews.com/43796-glaxosmithkline-plc-adr-gsk-steps-ahead-in-vaccine-combination/","2016-11-01 08:21:57","Sm<U+0430>rt St<U+043E>ck N<U+0435>ws","GSK's Shingrix belongs to the non-live recombinant category indicated for the prevention of shingles in a very minimal side effect profile.","GSK"," GlaxoSmithKline"
"60","GSK gets European nod for Boostrix vaccine label changes","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3466965","2016-11-01 09:06:37","Reuters Key Development","GSK gets European nod for Boostrix vaccine label changes","GSK"," GlaxoSmithKline"
"61","GSK Stock: GlaxoSmithKline PLC Is a High-Dividend Stock","https://www.incomeinvestors.com/gsk-stock-glaxosmithkline-plc-high-dividend-stock/8252/","2016-11-12 07:03:41","Income Investors","One sector that is known for large gross margins is the healthcare sector. Typically, high-gross-margin businesses are not looked at by dividend investors, the reason being that there is often no dividend.","GSK"," GlaxoSmithKline"
"62","GSK files regulatory submission in U.S. for COPD treatment","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3481804","2016-11-21 02:11:35","Reuters Key Development","GSK files regulatory submission in U.S. for COPD treatment","GSK"," GlaxoSmithKline"
"63","GSK files regulatory submission of candidate vaccine","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3482055","2016-11-21 06:30:00","Reuters Key Development","GSK files regulatory submission of candidate vaccine","GSK"," GlaxoSmithKline"
"64","GSK files regulatory submission in US for once-daily closed triple combination therapy ff/umec/vi for patients with COPD","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3482101","2016-11-21 07:00:00","Reuters Key Development","GSK files regulatory submission in US for once-daily closed triple combination therapy ff/umec/vi for patients with COPD","GSK"," GlaxoSmithKline"
"65","GSK receives FDA approval for expanded indication for flulaval® quadrivalent (influenza vaccine) for infants 6 months and older","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3482145","2016-11-21 08:28:00","Reuters Key Development","GSK receives FDA approval for expanded indication for flulaval® quadrivalent (influenza vaccine) for infants 6 months and older","GSK"," GlaxoSmithKline"
"66","Here&#39;s Our Take On Theravance Biopharma Inc (TBPH) And GlaxoSmithKline PLC ...","http://www.insidermonkey.com/blog/heres-our-take-on-theravance-biopharma-inc-tbph-and-glaxosmithkline-plc-adr-gsks-latest-submission-489531/","2016-11-22 09:48:45","Insider Monkey (blog)","With Closed Triple, GlaxoSmithKline plc (ADR) (NYSE:GSK) is trying to eliminate this pressure - it's a triple combination of fluticasone furoate, umeclidinium, and vilanterol, and it's delivered by way of one of the company's proprietary powder ...","GSK"," GlaxoSmithKline"
"67","GSK&#39;s Mepolizumab meets endpoints in phase 3 EGPA study","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3483295","2016-11-23 02:05:26","Reuters Key Development","GSK's Mepolizumab meets endpoints in phase 3 EGPA study","GSK"," GlaxoSmithKline"
"68","GlaxoSmithKline submits marketing application for shingles vaccine to EMA","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3485182","2016-11-25 08:35:13","Reuters Key Development","GlaxoSmithKline submits marketing application for shingles vaccine to EMA","GSK"," GlaxoSmithKline"
"69","GSK&#39;s lung drug gains approval in Japan","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3488725","2016-12-02 02:01:39","Reuters Key Development","GSK's lung drug gains approval in Japan","GSK"," GlaxoSmithKline"
"70","GSK applies for EU marketing nod for COPD drug cocktail","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3489268","2016-12-02 09:15:00","Reuters Key Development","GSK applies for EU marketing nod for COPD drug cocktail","GSK"," GlaxoSmithKline"
"71","GSK files EU submission for closed triple combination therapy for patients with COPD","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3489299","2016-12-02 10:12:32","Reuters Key Development","GSK files EU submission for closed triple combination therapy for patients with COPD","GSK"," GlaxoSmithKline"
"72","Analyst Insights on Price Target Estimates: GlaxoSmithKline plc (ADR) (NYSE:GSK)","http://postregistrar.com/2016/12/03/analyst-insights-on-price-target-estimates-glaxosmithkline-plc-adr-nysegsk/","2016-12-03 08:30:00","Post Registrar","GlaxoSmithKline plc (ADR) (NYSE:GSK) soared 0.72% during previous trade, a total of 3.91M shares exchanged hands compared with its average trading volume of 4.48M shares whereas its relative volume is 1.10.","GSK"," GlaxoSmithKline"
"73","What Smart Money Thinks About GlaxoSmithKline plc (ADR) (GSK)","http://www.insidermonkey.com/blog/what-smart-money-thinks-about-glaxosmithkline-plc-adr-gsk-491777/","2016-12-04 17:07:30","Insider Monkey (blog)","Is GlaxoSmithKline plc (ADR) (NYSE:GSK) a good investment right now? We check hedge fund and billionaire investor sentiment before delving into hours of research.","GSK"," GlaxoSmithKline"
"74","GSK submits regulatory application in Japan for belimumab","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3494065","2016-12-13 04:21:10","Reuters Key Development","GSK submits regulatory application in Japan for belimumab","GSK"," GlaxoSmithKline"
"75","GlaxoSmithKline plc&#39;s (ADR) (NYSE:GSK) Opens Its First Fully Dedicated ...","https://marketexclusive.com/glaxosmithkline-plcs-adr-nysegsk-opens-first-fully-dedicated-vaccines-rd-center-rockville/46670/","2016-12-15 09:15:00","Market Exclusive","GlaxoSmithKline plc (ADR) (NYSE:GSK) is celebrating another milestone; the opening of its newest global vaccines R&D center in Rockville, Maryland.","GSK"," GlaxoSmithKline"
"76","GSK announces start of phase III trails for asthma therapy","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3497319","2016-12-19 04:32:43","Reuters Key Development","GSK announces start of phase III trails for asthma therapy","GSK"," GlaxoSmithKline"
"77","GSK&#39;s Viiv announces positive results from initial HIV phase III studies","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3497917","2016-12-20 02:00:10","Reuters Key Development","GSK's Viiv announces positive results from initial HIV phase III studies","GSK"," GlaxoSmithKline"
"78","GlaxoSmithKline PLC (ADR) (GSK) Phase 3 Trials Looks Positive: Will Gilead ...","http://www.insidermonkey.com/blog/glaxosmithkline-plc-adr-gsk-phase-3-trials-looks-positive-will-gilead-sciences-inc-gild-endure-512585/","2016-12-21 13:22:30","Insider Monkey (blog)","Efforts by GlaxoSmithKline plc (ADR) (NYSE:GSK) in carrying out a large study on its new HIV drug are yielding positive results.","GSK"," GlaxoSmithKline"
"79","NeRRe, A GlaxoSmithKline PLC (ADR) (GSK) Spinout Raises £23 Million For NK ...","http://www.insidermonkey.com/blog/nerre-a-glaxosmithkline-plc-adr-gsk-spinout-raises-23-million-for-nk-antagonists-514967/","2017-01-06 10:56:15","Insider Monkey (blog)","NeRRe Therapeutics, which is a GlaxoSmithKline PLC (ADR) (NYSE:GSK) spinout, has raised £23 million ($28 million) in a Series B financing round.","GSK"," GlaxoSmithKline"
"80","Adaptimmune says confirms GSK nomination of second adaptimmune target under strategic multi-target collaboration","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3505807","2017-01-09 08:01:00","Reuters Key Development","Adaptimmune says confirms GSK nomination of second adaptimmune target under strategic multi-target collaboration","GSK"," GlaxoSmithKline"
"81","GSK&#39;s pharmaceuticals president Abbas Hussain to leave in 2017","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3510711","2017-01-19 02:05:58","Reuters Key Development","GSK's pharmaceuticals president Abbas Hussain to leave in 2017","GSK"," GlaxoSmithKline"
"82","GlaxoSmithKline appoints Luke Miels President, Global Pharma","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3510721","2017-01-19 02:09:25","Reuters Key Development","GlaxoSmithKline appoints Luke Miels President, Global Pharma","GSK"," GlaxoSmithKline"
"83","EMA recommends approval of two biosimilars from Amgen","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3516643","2017-01-27 07:21:30","Reuters Key Development","EMA recommends approval of two biosimilars from Amgen","GSK"," GlaxoSmithKline"
"84","Analysts Keeping an Eye on: GlaxoSmithKline plc (ADR) (NYSE:GSK)","http://postregistrar.com/2017/02/01/analysts-keeping-an-eye-on-glaxosmithkline-plc-adr-nysegsk/","2017-02-01 08:41:15","Post Registrar","GlaxoSmithKline plc (ADR) (NYSE:GSK) soared 0.79% during previous trade, a total of 3.49M shares exchanged hands compared with its average trading volume of 3.42M shares whereas its relative volume is 0.88.","GSK"," GlaxoSmithKline"
"85","Pernix Therapeutics provides update on arbitration","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3520428","2017-02-03 08:00:00","Reuters Key Development","Pernix Therapeutics provides update on arbitration","GSK"," GlaxoSmithKline"
"86","GSK says launched flonase sensimist allergy relief nationwide","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3522863","2017-02-08 07:00:00","Reuters Key Development","GSK says launched flonase sensimist allergy relief nationwide","GSK"," GlaxoSmithKline"
"87","New GSK CEO likely to give strategy update in H2 2017","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3522879","2017-02-08 07:45:00","Reuters Key Development","New GSK CEO likely to give strategy update in H2 2017","GSK"," GlaxoSmithKline"
"88","ViiV Healthcare announces positive phase III results for two-drug regimen of Dolutegravir and Rilpivirine","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3526432","2017-02-13 18:55:53","Reuters Key Development","ViiV Healthcare announces positive phase III results for two-drug regimen of Dolutegravir and Rilpivirine","GSK"," GlaxoSmithKline"
"89","GSK announces positive final stage results for two-drug HIV treatment","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3526688","2017-02-14 02:00:05","Reuters Key Development","GSK announces positive final stage results for two-drug HIV treatment","GSK"," GlaxoSmithKline"
"90","Bank of America ML Didn&#39;t Change HIV Estimates for GlaxoSmithKline plc (ADR) (GSK)","http://smartstocknews.com/37721-bank-of-america-ml-didnt-change-hiv-estimates-for-glaxosmithkline-plc-adr-gsk/","2017-02-14 12:24:19","Sm<U+0430>rt St<U+043E>ck N<U+0435>ws","Gilead reported PII data for bictegravir (potential competitor to GlaxoSmithKline plc's (ADR) (NYSE:GSK) integrase inhibitor Tivicay), at the CROI HIV conference, that, as expected shows similarly strong efficacy to GlaxoSmithKline plc's (ADR) (NYSE ...","GSK"," GlaxoSmithKline"
"91","Gilead HIV Drug Tops GSK Combo, But Rivalry &#39;Intense&#39; With GSK Doublet","http://www.investors.com/news/technology/gilead-hiv-drug-tops-gsk-combo-but-rivalry-intense-with-gsk-doublet/","2017-02-14 14:17:10","Investor's Business Daily","Gilead Sciences' (GILD) newest HIV regimen topped a rival combo from GlaxoSmithKline (GSK), in trial results released late Monday, but a doublet from GSK will keep ""intense competitive pressure"" on Gilead's HIV unit, Leerink analyst Geoffrey Porges says.","GSK"," GlaxoSmithKline"
